analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,artifact_count,doi,paper_id,pdf_url,repro_audit_eligible,retrieval_status,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4408,1,10.36001/phmconf.2025.v17i1.4408,phm-2025-4408,https://papers.phmsociety.org/index.php/phmconf/article/download/4408/phmc_25_4408,True,full_text,phm,pypdf,Integration of LLMs for Multitasking Workload Prediction in Mixed Reality Environments,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4545,1,10.36001/phmconf.2025.v17i1.4545,phm-2025-4545,https://papers.phmsociety.org/index.php/phmconf/article/download/4545/phmc_25_4545,True,full_text,phm,pypdf,Mission Profile Clustering for Usage-Based Health Modeling of Flight Control Actuators Applied to a Fleet of Advanced Jet Trainers,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4425,1,10.36001/phmconf.2025.v17i1.4425,phm-2025-4425,https://papers.phmsociety.org/index.php/phmconf/article/download/4425/phmc_25_4425,True,full_text,phm,pypdf,Event-Based Data in Prognostics and Health Management,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4414,1,10.36001/phmconf.2025.v17i1.4414,phm-2025-4414,https://papers.phmsociety.org/index.php/phmconf/article/download/4414/phmc_25_4414,True,full_text,phm,pypdf,Gear Teeth Parameter Identification in Helicopter Planetary Gearbox Using Tachometer and Vibration Signals,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4558,1,10.36001/phmconf.2025.v17i1.4558,phm-2025-4558,https://papers.phmsociety.org/index.php/phmconf/article/download/4558/phmc_25_4558,True,full_text,phm,pypdf,Robust health indicator extraction and RUL prediction for PEMFCs under highly dynamic industrial conditions,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4407,1,10.36001/phmconf.2025.v17i1.4407,phm-2025-4407,https://papers.phmsociety.org/index.php/phmconf/article/download/4407/phmc_25_4407,True,full_text,phm,pypdf,Evaluating Large Language Models for Turboshaft Engine Torque Prediction,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4405,1,10.36001/phmconf.2025.v17i1.4405,phm-2025-4405,https://papers.phmsociety.org/index.php/phmconf/article/download/4405/phmc_25_4405,True,full_text,phm,pypdf,Prognostics of Rolling Element Bearings based on Cyclostationarity-based Indicators and Kalman filter under Varying Load and Speed,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4400,1,10.36001/phmconf.2025.v17i1.4400,phm-2025-4400,https://papers.phmsociety.org/index.php/phmconf/article/download/4400/phmc_25_4400,True,full_text,phm,pypdf,Fault Identification Using System-Level Insights and Multi-Layered Classification,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4644,1,10.36001/phmconf.2025.v17i1.4644,phm-2025-4644,https://papers.phmsociety.org/index.php/phmconf/article/download/4644/phmc_25_4644,True,full_text,phm,pypdf,Impact of Environmental Temperature Variation on Vibration- Based Fault Detection for Air Compressors,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4562,1,10.36001/phmconf.2025.v17i1.4562,phm-2025-4562,https://papers.phmsociety.org/index.php/phmconf/article/download/4562/phmc_25_4562,True,full_text,phm,pypdf,A Contrastive Learning Approach for Anomaly Detection in Multi-View Scenarios,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4350,1,10.36001/phmconf.2025.v17i1.4350,phm-2025-4350,https://papers.phmsociety.org/index.php/phmconf/article/download/4350/phmc_25_4350,True,full_text,phm,pypdf,Exploring LLM-based Agentic Frameworks for Fault Diagnosis,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4346,1,10.36001/phmconf.2025.v17i1.4346,phm-2025-4346,https://papers.phmsociety.org/index.php/phmconf/article/download/4346/phmc_25_4346,True,full_text,phm,pypdf,Detectability of Damages in Carbon Fiber Reinforced Plastics using Acoustic Emission,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4344,1,10.36001/phmconf.2025.v17i1.4344,phm-2025-4344,https://papers.phmsociety.org/index.php/phmconf/article/download/4344/phmc_25_4344,True,full_text,phm,pypdf,Bayesian Physics Informed Neural Networks for Reliable Transformer Prognostics,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4341,1,10.36001/phmconf.2025.v17i1.4341,phm-2025-4341,https://papers.phmsociety.org/index.php/phmconf/article/download/4341/phmc_25_4341,True,full_text,phm,pypdf,Partial Domain Adaptation for Intelligent Machinery Fault Diagnosis,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4332,1,10.36001/phmconf.2025.v17i1.4332,phm-2025-4332,https://papers.phmsociety.org/index.php/phmconf/article/download/4332/phmc_25_4332,True,full_text,phm,pypdf,Real-time Thermal Runaway Prognosis of a Lithium-ion Battery via Physics-informed Latent Ensemble DeepONet with Segmented Data,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4354,1,10.36001/phmconf.2025.v17i1.4354,phm-2025-4354,https://papers.phmsociety.org/index.php/phmconf/article/download/4354/phmc_25_4354,True,full_text,phm,pypdf,Bearing Spall Size Estimation Under Varying Speed Conditions,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4328,1,10.36001/phmconf.2025.v17i1.4328,phm-2025-4328,https://papers.phmsociety.org/index.php/phmconf/article/download/4328/phmc_25_4328,True,full_text,phm,pypdf,A Hierarchical Agentic Framework for Autonomous Drone-Based Visual Inspection,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4322,1,10.36001/phmconf.2025.v17i1.4322,phm-2025-4322,https://papers.phmsociety.org/index.php/phmconf/article/download/4322/phmc_25_4322,True,full_text,phm,pypdf,A Dual-Contrastive-Attention Transformer for Unsupervised Anomaly Detection in Lamb Waves Structural Health Monitoring,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4376,1,10.36001/phmconf.2025.v17i1.4376,phm-2025-4376,https://papers.phmsociety.org/index.php/phmconf/article/download/4376/phmc_25_4376,True,full_text,phm,pypdf,LLMs as Pre-trained Models for Time-Series Applications in PHM,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4375,1,10.36001/phmconf.2025.v17i1.4375,phm-2025-4375,https://papers.phmsociety.org/index.php/phmconf/article/download/4375/phmc_25_4375,True,full_text,phm,pypdf,A Novel Methodology for Vision Backbone Network Fine-Tuning and Continual Learning in Optical Inspection Tasks,Technical Research Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4373,1,10.36001/phmconf.2025.v17i1.4373,phm-2025-4373,https://papers.phmsociety.org/index.php/phmconf/article/download/4373/phmc_25_4373,True,full_text,phm,pypdf,A Lithium-Ion Battery Degradation Model Agnostic to Cell Chemistry with Integrated State-of-Charge and Temperature Dependence,Technical Research Papers,2025
