analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,artifact_count,doi,paper_id,pdf_url,repro_audit_eligible,retrieval_status,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3973,1,10.36001/phmconf.2024.v16i1.3973,phm-2024-3973,https://papers.phmsociety.org/index.php/phmconf/article/download/3973/phmc_24_3973,True,full_text,phm,pypdf,A Deep Learning Solution for Quality Control in a Die Casting Process,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4022,2,10.36001/phmconf.2024.v16i1.4022,phm-2024-4022,https://papers.phmsociety.org/index.php/phmconf/article/download/4022/phmc_24_4022,True,full_text,phm,pypdf,A Gamma Process Based Degradation Model with Fractional Gaussian Noise,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3929,1,10.36001/phmconf.2024.v16i1.3929,phm-2024-3929,https://papers.phmsociety.org/index.php/phmconf/article/download/3929/phmc_24_3929,True,full_text,phm,pypdf,A Process for Real-Time Monitoring of a Turboshaft Engine,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3911,1,10.36001/phmconf.2024.v16i1.3911,phm-2024-3911,https://papers.phmsociety.org/index.php/phmconf/article/download/3911/phmc_24_3911,True,full_text,phm,pypdf,A Self-supervised Learning Approach for Anomaly Detection in Rotating Machinery,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3896,1,10.36001/phmconf.2024.v16i1.3896,phm-2024-3896,https://papers.phmsociety.org/index.php/phmconf/article/download/3896/phmc_24_3896,True,full_text,phm,pypdf,Advancing Light Aircraft Health Monitoring with Flight Phase Clustering,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4082,1,10.36001/phmconf.2024.v16i1.4082,phm-2024-4082,https://papers.phmsociety.org/index.php/phmconf/article/download/4082/phmc_24_4082,True,full_text,phm,pypdf,Adversarial Attacks and Defenses in Multivariate Time-Series Forecasting for Smart and Connected Infrastructures,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3909,1,10.36001/phmconf.2024.v16i1.3909,phm-2024-3909,https://papers.phmsociety.org/index.php/phmconf/article/download/3909/phmc_24_3909,True,full_text,phm,pypdf,AI+AR based Framework for Guided Visual Diagnosis of Equipment,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3869,1,10.36001/phmconf.2024.v16i1.3869,phm-2024-3869,https://papers.phmsociety.org/index.php/phmconf/article/download/3869/phmc_24_3869,True,full_text,phm,pypdf,An Advanced Diagnostic Model for Gearbox Degradation Prediction Under Various Operating Conditions and Degradation Levels,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3924,1,10.36001/phmconf.2024.v16i1.3924,phm-2024-3924,https://papers.phmsociety.org/index.php/phmconf/article/download/3924/phmc_24_3924,True,full_text,phm,pypdf,Assessing Aircraft Engine Wear through Simulation Techniques,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4141,1,10.36001/phmconf.2024.v16i1.4141,phm-2024-4141,https://papers.phmsociety.org/index.php/phmconf/article/download/4141/phmc_24_4141,True,full_text,phm,pypdf,Assumption-based Design of Hybrid Diagnosis Systems,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3913,1,10.36001/phmconf.2024.v16i1.3913,phm-2024-3913,https://papers.phmsociety.org/index.php/phmconf/article/download/3913/phmc_24_3913,True,full_text,phm,pypdf,Comparing Feature and Trajectory-Based Remaining Useful Life Modeling of Electrical Resistance Heating Wires,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3898,2,10.36001/phmconf.2024.v16i1.3898,phm-2024-3898,https://papers.phmsociety.org/index.php/phmconf/article/download/3898/phmc_24_3898,True,full_text,phm,pypdf,CycleGAN-based Data Augmentation for Enhanced Remaining Useful Life Prediction Under Unsupervised Domain Adaptation,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4223,1,10.36001/phmconf.2024.v16i1.4223,phm-2024-4223,https://papers.phmsociety.org/index.php/phmconf/article/download/4223/phmc_24_4223,True,full_text,phm,pypdf,Damage Diagnostics of Miter Gates Using Domain Adaptation and Normalizing Flow-Based Likelihood-Free Inference,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3899,1,10.36001/phmconf.2024.v16i1.3899,phm-2024-3899,https://papers.phmsociety.org/index.php/phmconf/article/download/3899/phmc_24_3899,True,full_text,phm,pypdf,Data-driven Detection of Engine Faults in Infrequently-driven Ground Vehicles,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4071,1,10.36001/phmconf.2024.v16i1.4071,phm-2024-4071,https://papers.phmsociety.org/index.php/phmconf/article/download/4071/phmc_24_4071,True,full_text,phm,pypdf,Data-Driven Remaining Useful Life Estimation,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4061,1,10.36001/phmconf.2024.v16i1.4061,phm-2024-4061,https://papers.phmsociety.org/index.php/phmconf/article/download/4061/phmc_24_4061,True,full_text,phm,pypdf,Development of PHM Algorithm of e-Latch to Prepare for the Era of Autonomous Driving,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3971,1,10.36001/phmconf.2024.v16i1.3971,phm-2024-3971,https://papers.phmsociety.org/index.php/phmconf/article/download/3971/phmc_24_3971,True,full_text,phm,pypdf,Elastodynamics based Modelling of Acoustic Emission for Earlier Bearing Damage Detection,Technical Research Papers,2024
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/4146,1,10.36001/phmconf.2024.v16i1.4146,phm-2024-4146,https://papers.phmsociety.org/index.php/phmconf/article/download/4146/phmc_24_4146,True,full_text,phm,pypdf,Evaluation of the Use of the Angular Domain and Order Domain in a Bearing Fault Detection Framework using Deep Learning,Technical Research Papers,2024
