analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,artifact_count,doi,paper_id,pdf_url,repro_audit_eligible,retrieval_status,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4245,1,10.36001/ijphm.2025.v16i4.4245,ijphm-2025-4245,https://papers.phmsociety.org/index.php/ijphm/article/download/4245/2710,True,full_text,ijphm,pypdf,Life Cycle Assessment of Aircraft Maintenance,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4252,1,10.36001/ijphm.2025.v16i4.4252,ijphm-2025-4252,https://papers.phmsociety.org/index.php/ijphm/article/download/4252/2709,True,full_text,ijphm,pypdf,Time to Replace? A Guide for Sustainable Engine Maintenance Strategies,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4253,1,10.36001/ijphm.2025.v16i4.4253,ijphm-2025-4253,https://papers.phmsociety.org/index.php/ijphm/article/download/4253/2714,True,full_text,ijphm,pypdf,Prescriptive Decision-Making for Sustainable Production Management,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4267,1,10.36001/ijphm.2025.v16i4.4267,ijphm-2025-4267,https://papers.phmsociety.org/index.php/ijphm/article/download/4267/2711,True,full_text,ijphm,pypdf,Assessing the Sustainability Impacts of Industry 4.0 on Maintenance Policies,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4269,1,10.36001/ijphm.2025.v16i4.4269,ijphm-2025-4269,https://papers.phmsociety.org/index.php/ijphm/article/download/4269/2713,True,full_text,ijphm,pypdf,Cost and Environmental Assessment of Tool Replacement Strategies Under Imperfect Wear Monitoring in Ti6Al4V Milling,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4306,1,10.36001/ijphm.2025.v16i4.4306,ijphm-2025-4306,https://papers.phmsociety.org/index.php/ijphm/article/download/4306/2683,True,full_text,ijphm,pypdf,Impact of Sensor Degradation on Measurement Uncertainty in Prognostics and Maintenance Decision-Making:,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4305,1,10.36001/ijphm.2025.v16i2.4305,ijphm-2025-4305,https://papers.phmsociety.org/index.php/ijphm/article/download/4305/2627,True,full_text,ijphm,pypdf,Fault-Type-Aware Remaining Useful Life Prediction of Aircraft Engines Using an Integrated Deep Learning Framework,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4639,1,10.36001/ijphm.2025.v16i2.4639,ijphm-2025-4639,https://papers.phmsociety.org/index.php/ijphm/article/download/4639/2680,True,full_text,ijphm,pypdf,Dynamical Variational Autoencoders for Estimating the Remaining Useful Life of Machinery,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4571,1,10.36001/ijphm.2025.v16i2.4571,ijphm-2025-4571,https://papers.phmsociety.org/index.php/ijphm/article/download/4571/2717,True,full_text,ijphm,pypdf,CMAGIN,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4568,1,10.36001/ijphm.2025.v16i2.4568,ijphm-2025-4568,https://papers.phmsociety.org/index.php/ijphm/article/download/4568/2716,True,full_text,ijphm,pypdf,A Novel Hybrid Wavelet-deep Learning Framework for Advanced Structural Damage Detection,Technical Papers,2025
