analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,artifact_count,doi,paper_id,pdf_url,repro_audit_eligible,retrieval_status,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4508,1,10.36001/ijphm.2025.v16i2.4508,ijphm-2025-4508,https://papers.phmsociety.org/index.php/ijphm/article/download/4508/2679,True,full_text,ijphm,pypdf,Advanced MRO Processes in Industry 4.0 with Proactive Asset Administration Shell and Digital Product Passport,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4469,1,10.36001/ijphm.2025.v16i2.4469,ijphm-2025-4469,https://papers.phmsociety.org/index.php/ijphm/article/download/4469/2682,True,full_text,ijphm,pypdf,Integrating Spatial and Temporal Features for Bearing Fault Diagnosis,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4424,1,10.36001/ijphm.2025.v16i2.4424,ijphm-2025-4424,https://papers.phmsociety.org/index.php/ijphm/article/download/4424/2628,True,full_text,ijphm,pypdf,Exploring Proactive Maintenance through Fault Detection Techniques for Rotating Machinery,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4416,1,10.36001/ijphm.2025.v16i2.4416,ijphm-2025-4416,https://papers.phmsociety.org/index.php/ijphm/article/download/4416/2712,True,full_text,ijphm,pypdf,Enhanced Fault Detection and Diagnosis in Industrial Distillation Column Using Explainable Artificial Intelligence and Machine Learning,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4395,1,10.36001/ijphm.2025.v16i2.4395,ijphm-2025-4395,https://papers.phmsociety.org/index.php/ijphm/article/download/4395/2654,True,full_text,ijphm,pypdf,"Spacecraft 3-axis Controlled Attitude Determination and Control System Reaction Wheels Fault Detection, Isolation and Identification using Machine Learning Techniques",Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4386,1,10.36001/ijphm.2025.v16i2.4386,ijphm-2025-4386,https://papers.phmsociety.org/index.php/ijphm/article/download/4386/2653,True,full_text,ijphm,pypdf,Trustworthy Autonomy through Ethics-Aware Integrity Monitoring,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4372,1,10.36001/ijphm.2025.v16i2.4372,ijphm-2025-4372,https://papers.phmsociety.org/index.php/ijphm/article/download/4372/2681,True,full_text,ijphm,pypdf,Exploring Rolling Element Bearing Data Collection and Algorithm Hyperparameters for Machine Learning-Based Fault Diagnosis,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4208,1,10.36001/ijphm.2025.v16i2.4208,ijphm-2025-4208,https://papers.phmsociety.org/index.php/ijphm/article/download/4208/2617,True,full_text,ijphm,pypdf,Vibration-based Data-driven Fault Diagnosis of Rotating Machines Operating Under Varying Working Conditions,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4302,1,10.36001/ijphm.2025.v16i2.4302,ijphm-2025-4302,https://papers.phmsociety.org/index.php/ijphm/article/download/4302/2623,True,full_text,ijphm,pypdf,Correlation-Enhanced Multi-Scale Residual Network for Bearing Fault Diagnosis in Noisy and Cross-Working Conditions,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4297,1,10.36001/ijphm.2025.v16i2.4297,ijphm-2025-4297,https://papers.phmsociety.org/index.php/ijphm/article/download/4297/2655,True,full_text,ijphm,pypdf,Bearing Remaining Useful Life Prediction based on TSDAE and Pathformer-TCLSTM,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4296,1,10.36001/ijphm.2025.v16i2.4296,ijphm-2025-4296,https://papers.phmsociety.org/index.php/ijphm/article/download/4296/2626,True,full_text,ijphm,pypdf,Towards Reliable RUL Prediction,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4274,1,10.36001/ijphm.2025.v16i2.4274,ijphm-2025-4274,https://papers.phmsociety.org/index.php/ijphm/article/download/4274/2620,True,full_text,ijphm,pypdf,Remaining Useful Life Prediction Using Attention-LSTM Neural Network of Aircraft Engines,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4273,1,10.36001/ijphm.2025.v16i2.4273,ijphm-2025-4273,https://papers.phmsociety.org/index.php/ijphm/article/download/4273/2625,True,full_text,ijphm,pypdf,A Comparative Analysis of Anomaly Detection Techniques for Battery Telemetry Data in Low Earth Orbit Remote Sensing Satellites,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4268,1,10.36001/ijphm.2025.v16i2.4268,ijphm-2025-4268,https://papers.phmsociety.org/index.php/ijphm/article/download/4268/2624,True,full_text,ijphm,pypdf,Constraint-Guided Learning of Data-driven Health Indicator Models,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4265,1,10.36001/ijphm.2025.v16i2.4265,ijphm-2025-4265,https://papers.phmsociety.org/index.php/ijphm/article/download/4265/2621,True,full_text,ijphm,pypdf,Innovative Distributed Maintenance Concept,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4262,1,10.36001/ijphm.2025.v16i2.4262,ijphm-2025-4262,https://papers.phmsociety.org/index.php/ijphm/article/download/4262/2622,True,full_text,ijphm,pypdf,Analytical Health Indices: Towards Reliability-Informed Deep Learning for PHM,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4260,1,10.36001/ijphm.2025.v16i2.4260,ijphm-2025-4260,https://papers.phmsociety.org/index.php/ijphm/article/download/4260/2619,True,full_text,ijphm,pypdf,LSTM and Transformers based methods for Remaining Useful Life Prediction considering Censored Data,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4157,1,10.36001/ijphm.2025.v16i3.4157,ijphm-2025-4157,https://papers.phmsociety.org/index.php/ijphm/article/download/4157/2604,True,full_text,ijphm,pypdf,A Fault Diagnosis in Non-Stationary Systems via Interval Observers,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4163,1,10.36001/ijphm.2025.v16i3.4163,ijphm-2025-4163,https://papers.phmsociety.org/index.php/ijphm/article/download/4163/2612,True,full_text,ijphm,pypdf,Evaluating the Influence of Time Domain Feature Distributions on Estimating Rolling Bearing Flaking Size with Explainability,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4166,1,10.36001/ijphm.2025.v16i3.4166,ijphm-2025-4166,https://papers.phmsociety.org/index.php/ijphm/article/download/4166/2605,True,full_text,ijphm,pypdf,difLIME,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4225,1,10.36001/ijphm.2025.v16i3.4225,ijphm-2025-4225,https://papers.phmsociety.org/index.php/ijphm/article/download/4225/2603,True,full_text,ijphm,pypdf,Predicting Remaining Useful Life During the Healthy Stage in Rolling Bearings,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4239,1,10.36001/ijphm.2025.v16i3.4239,ijphm-2025-4239,https://papers.phmsociety.org/index.php/ijphm/article/download/4239/2607,True,full_text,ijphm,pypdf,Towards a Universal Vibration Analysis Dataset,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4164,1,10.36001/ijphm.2025.v16i1.4164,ijphm-2025-4164,https://papers.phmsociety.org/index.php/ijphm/article/download/4164/2597,True,full_text,ijphm,pypdf,Uncertainty Assessment Framework for IGBT Lifetime Models. A Case Study of Solder-Free Modules,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4171,1,10.36001/ijphm.2025.v16i1.4171,ijphm-2025-4171,https://papers.phmsociety.org/index.php/ijphm/article/download/4171/2566,True,full_text,ijphm,pypdf,Adaptive Res-LSTM Attention-based Remaining Useful Lifetime Prognosis of Rolling Bearings,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4204,1,10.36001/ijphm.2025.v16i1.4204,ijphm-2025-4204,https://papers.phmsociety.org/index.php/ijphm/article/download/4204/2599,True,full_text,ijphm,pypdf,Robust Kalman Filter with Recursive Measurement Noise Covariance Estimation Against Measurement Faults,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4207,1,10.36001/ijphm.2025.v16i1.4207,ijphm-2025-4207,https://papers.phmsociety.org/index.php/ijphm/article/download/4207/2615,True,full_text,ijphm,pypdf,Pump Health Monitoring Test Environment for Diagnosing the Erosive Effects from Cavitation,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4215,1,10.36001/ijphm.2025.v16i1.4215,ijphm-2025-4215,https://papers.phmsociety.org/index.php/ijphm/article/download/4215/2613,True,full_text,ijphm,pypdf,Proficiency of Physics Informed Machine Learning in Multi-component Fault Recognition of Rotational Machines under Different Speed Conditions,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4222,1,10.36001/ijphm.2025.v16i1.4222,ijphm-2025-4222,https://papers.phmsociety.org/index.php/ijphm/article/download/4222/2600,True,full_text,ijphm,pypdf,Diagnostics and Prognostics of Boilers in Power Plant Based on Data-Driven and Machine Learning,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4231,1,10.36001/ijphm.2025.v16i1.4231,ijphm-2025-4231,https://papers.phmsociety.org/index.php/ijphm/article/download/4231/2610,True,full_text,ijphm,pypdf,Comparative Analysis of LSTM Variants for Fault Detection and Classification in Aircraft Control Surfaces,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4233,1,10.36001/ijphm.2025.v16i1.4233,ijphm-2025-4233,https://papers.phmsociety.org/index.php/ijphm/article/download/4233/2611,True,full_text,ijphm,pypdf,Dynamic Relationship Between Oil Temperature and BGCI in Bell 407 Helicopter,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4234,1,10.36001/ijphm.2025.v16i1.4234,ijphm-2025-4234,https://papers.phmsociety.org/index.php/ijphm/article/download/4234/2608,True,full_text,ijphm,pypdf,Adaptive Wavelet-Based Physics-Informed CNN for Bearing Fault Diagnosis,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4242,1,10.36001/ijphm.2025.v16i1.4242,ijphm-2025-4242,https://papers.phmsociety.org/index.php/ijphm/article/download/4242/2609,True,full_text,ijphm,pypdf,Integrating Machine Learning-Based Remaining Useful Life Predictions with Cost-Optimal Block Replacement for Industrial Maintenance,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4254,1,10.36001/ijphm.2025.v16i1.4254,ijphm-2025-4254,https://papers.phmsociety.org/index.php/ijphm/article/download/4254/2614,True,full_text,ijphm,pypdf,A Comparative Study of Deep Learning Model Based Equipment Fault Diagnosis and Prognosis,Technical Papers,2025
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/ijphm/article/view/4266,1,10.36001/ijphm.2025.v16i1.4266,ijphm-2025-4266,https://papers.phmsociety.org/index.php/ijphm/article/download/4266/2606,True,full_text,ijphm,pypdf,Liner Wear Prediction Using Bayesian Regression Models and Clustering,Technical Papers,2025
